Game,TOI,CF%,SCF%,SH%,SV%,PDO,Division
"2021-02-13 - Blues 5, Coyotes 4",52.966666666667,47.17,50.0,12.9,85.71,0.986,West
"2021-02-13 - Blues 5, Coyotes 4",52.966666666667,52.83,50.0,14.29,87.1,1.014,West
"2021-02-13 - Golden Knights 3, Sharks 1",46.533333333333,50.7,43.24,4.76,100.0,1.048,West
"2021-02-13 - Golden Knights 3, Sharks 1",46.533333333333,49.3,56.76,0.0,95.24,0.952,West
"2021-02-14 - Avalanche 0, Golden Knights 1",50.916666666667,56.99,52.17,0.0,95.0,0.95,West
"2021-02-14 - Avalanche 0, Golden Knights 1",50.916666666667,43.01,47.83,5.0,100.0,1.05,West
"2021-02-15 - Blues 0, Coyotes 1",47.683333333333,40.85,43.33,6.67,100.0,1.067,West
"2021-02-15 - Blues 0, Coyotes 1",47.683333333333,59.15,56.67,0.0,93.33,0.933,West
"2021-02-15 - Ducks 2, Sharks 3",52.633333333333,56.0,53.33,7.41,91.67,0.991,West
"2021-02-15 - Ducks 2, Sharks 3",52.633333333333,44.0,46.67,8.33,92.59,1.009,West
"2021-02-16 - Avalanche 3, Golden Knights 2",51.066666666667,47.66,47.76,12.5,95.83,1.083,West
"2021-02-16 - Avalanche 3, Golden Knights 2",51.066666666667,52.34,52.24,4.17,87.5,0.917,West
"2021-02-16 - Wild 0, Kings 4",46.866666666667,52.33,53.85,8.33,100.0,1.083,West
"2021-02-16 - Wild 0, Kings 4",46.866666666667,47.67,46.15,0.0,91.67,0.917,West
"2021-02-18 - Kings 3, Coyotes 2",47.916666666667,40.68,47.83,13.33,91.3,1.046,West
"2021-02-18 - Kings 3, Coyotes 2",47.916666666667,59.32,52.17,8.7,86.67,0.954,West
"2021-02-18 - Sharks 2, Blues 3",51.9,47.25,46.67,6.67,100.0,1.067,West
"2021-02-18 - Sharks 2, Blues 3",51.9,52.75,53.33,0.0,93.33,0.933,West
"2021-02-18 - Wild 3, Ducks 1",43.05,49.3,52.17,8.33,85.0,0.933,West
"2021-02-18 - Wild 3, Ducks 1",43.05,50.7,47.83,15.0,91.67,1.067,West
"2021-02-20 - Golden Knights 2, Avalanche 3",42.966666666667,52.94,52.0,7.41,90.91,0.983,West
"2021-02-20 - Golden Knights 2, Avalanche 3",42.966666666667,47.06,48.0,9.09,92.59,1.017,West
"2021-02-20 - Kings 4, Coyotes 2",47.216666666667,59.21,65.79,0.0,94.74,0.947,West
"2021-02-20 - Kings 4, Coyotes 2",47.216666666667,40.79,34.21,5.26,100.0,1.053,West
"2021-02-20 - Sharks 5, Blues 4",48.4,50.0,62.5,18.52,89.29,1.078,West
"2021-02-20 - Sharks 5, Blues 4",48.4,50.0,37.5,10.71,81.48,0.922,West
"2021-02-20 - Wild 5, Ducks 1",51.05,54.84,33.33,4.17,84.0,0.882,West
"2021-02-20 - Wild 5, Ducks 1",51.05,45.16,66.67,16.0,95.83,1.118,West
"2021-02-22 - Ducks 3, Coyotes 4",43.05,52.38,52.78,12.5,90.0,1.025,West
"2021-02-22 - Ducks 3, Coyotes 4",43.05,47.62,47.22,10.0,87.5,0.975,West
"2021-02-22 - Golden Knights 3, Avalanche 0",51.983333333333,57.47,52.38,0.0,91.3,0.913,West
"2021-02-22 - Golden Knights 3, Avalanche 0",51.983333333333,42.53,47.62,8.7,100.0,1.087,West
"2021-02-22 - Kings 3, Blues 0",53.133333333333,50.6,48.72,4.55,100.0,1.045,West
"2021-02-22 - Kings 3, Blues 0",53.133333333333,49.4,51.28,0.0,95.45,0.955,West
"2021-02-22 - Wild 6, Sharks 2",45.6,50.57,43.48,13.79,92.86,1.067,West
"2021-02-22 - Wild 6, Sharks 2",45.6,49.43,56.52,7.14,86.21,0.933,West
"2021-02-24 - Ducks 3, Coyotes 4",50.3,52.69,40.48,8.33,86.96,0.953,West
"2021-02-24 - Ducks 3, Coyotes 4",50.3,47.31,59.52,13.04,91.67,1.047,West
"2021-02-24 - Kings 2, Blues 1",46.033333333333,62.69,54.55,10.0,100.0,1.1,West
"2021-02-24 - Kings 2, Blues 1",46.033333333333,37.31,45.45,0.0,90.0,0.9,West
"2021-02-24 - Wild 6, Avalanche 2",49.433333333333,60.67,51.22,4.35,80.95,0.853,West
"2021-02-24 - Wild 6, Avalanche 2",49.433333333333,39.33,48.78,19.05,95.65,1.147,West
"2021-02-26 - Avalanche 3, Coyotes 2",47.55,40.48,31.71,7.14,90.91,0.981,West
"2021-02-26 - Avalanche 3, Coyotes 2",47.55,59.52,68.29,9.09,92.86,1.019,West
"2021-02-26 - Kings 1, Wild 3",44.9,43.68,28.57,5.0,87.5,0.925,West
"2021-02-26 - Kings 1, Wild 3",44.9,56.32,71.43,12.5,95.0,1.075,West
"2021-02-27 - Avalanche 6, Coyotes 2",50.383333333333,37.78,34.09,9.52,88.57,0.981,West
"2021-02-27 - Avalanche 6, Coyotes 2",50.383333333333,62.22,65.91,11.43,90.48,1.019,West
"2021-02-27 - Blues 7, Sharks 6",48.466666666667,52.27,54.72,14.81,77.78,0.926,West
"2021-02-27 - Blues 7, Sharks 6",48.466666666667,47.73,45.28,22.22,85.19,1.074,West
"2021-02-27 - Golden Knights 3, Ducks 2",52.05,49.02,53.19,8.7,90.0,0.987,West
"2021-02-27 - Golden Knights 3, Ducks 2",52.05,50.98,46.81,10.0,91.3,1.013,West
"2021-02-27 - Kings 3, Wild 4",49.716666666667,52.22,50.0,4.55,87.5,0.92,West
"2021-02-27 - Kings 3, Wild 4",49.716666666667,47.78,50.0,12.5,95.45,1.08,West
"2021-03-01 - Avalanche 2, Sharks 6",45.366666666667,56.25,51.85,5.26,80.95,0.862,West
"2021-03-01 - Avalanche 2, Sharks 6",45.366666666667,43.75,48.15,19.05,94.74,1.138,West
"2021-03-01 - Blues 5, Ducks 4",43.066666666667,47.56,46.15,14.29,88.0,1.023,West
"2021-03-01 - Blues 5, Ducks 4",43.066666666667,52.44,53.85,12.0,85.71,0.977,West
"2021-03-01 - Wild 4, Golden Knights 5",55.15,43.81,47.83,13.79,96.43,1.102,West
"2021-03-01 - Wild 4, Golden Knights 5",55.15,56.19,52.17,3.57,86.21,0.898,West
"2021-03-03 - Avalanche 4, Sharks 0",45.95,58.51,61.11,11.54,100.0,1.115,West
"2021-03-03 - Avalanche 4, Sharks 0",45.95,41.49,38.89,0.0,88.46,0.885,West
"2021-03-03 - Blues 3, Ducks 2",50.1,54.76,52.38,4.17,100.0,1.042,West
"2021-03-03 - Blues 3, Ducks 2",50.1,45.24,47.62,0.0,95.83,0.958,West
"2021-03-03 - Coyotes 3, Kings 2",48.933333333333,37.36,42.86,5.26,97.06,1.023,West
"2021-03-03 - Coyotes 3, Kings 2",48.933333333333,62.64,57.14,2.94,94.74,0.977,West
"2021-03-03 - Wild 1, Golden Knights 5",49.2,48.91,48.89,3.45,82.61,0.861,West
"2021-03-03 - Wild 1, Golden Knights 5",49.2,51.09,51.11,17.39,96.55,1.139,West
"2021-03-05 - Blues 3, Kings 2",48.666666666667,52.24,51.52,4.35,100.0,1.043,West
"2021-03-05 - Blues 3, Kings 2",48.666666666667,47.76,48.48,0.0,95.65,0.957,West
"2021-03-05 - Ducks 2, Avalanche 3",51.3,38.95,41.67,8.33,93.55,1.019,West
"2021-03-05 - Ducks 2, Avalanche 3",51.3,61.05,58.33,6.45,91.67,0.981,West
"2021-03-05 - Golden Knights 5, Sharks 4",42.0,47.22,54.84,14.29,77.78,0.921,West
"2021-03-05 - Golden Knights 5, Sharks 4",42.0,52.78,45.16,22.22,85.71,1.079,West
"2021-03-05 - Wild 5, Coyotes 1",46.233333333333,52.56,47.37,5.26,72.22,0.775,West
"2021-03-05 - Wild 5, Coyotes 1",46.233333333333,47.44,52.63,27.78,94.74,1.225,West
"2021-03-06 - Blues 3, Kings 4",53.6,62.34,54.76,8.33,90.91,0.992,West
"2021-03-06 - Blues 3, Kings 4",53.6,37.66,45.24,9.09,91.67,1.008,West
"2021-03-06 - Ducks 5, Avalanche 4",54.15,47.31,40.54,13.04,88.0,1.01,West
"2021-03-06 - Ducks 5, Avalanche 4",54.15,52.69,59.46,12.0,86.96,0.99,West
"2021-03-06 - Golden Knights 4, Sharks 0",53.85,44.76,42.11,0.0,86.67,0.867,West
"2021-03-06 - Golden Knights 4, Sharks 0",53.85,55.24,57.89,13.33,100.0,1.133,West
"2021-03-06 - Wild 2, Coyotes 5",46.383333333333,53.33,48.15,13.04,92.0,1.05,West
"2021-03-06 - Wild 2, Coyotes 5",46.383333333333,46.67,51.85,8.0,86.96,0.95,West
"2021-03-08 - Blues 2, Sharks 3",50.8,44.44,45.71,0.0,95.45,0.955,West
"2021-03-08 - Blues 2, Sharks 3",50.8,55.56,54.29,4.55,100.0,1.045,West
"2021-03-08 - Coyotes 3, Avalanche 2",51.066666666667,35.06,29.03,16.67,100.0,1.167,West
"2021-03-08 - Coyotes 3, Avalanche 2",51.066666666667,64.94,70.97,0.0,83.33,0.833,West
"2021-03-08 - Golden Knights 0, Wild 2",48.633333333333,51.47,64.29,5.0,100.0,1.05,West
"2021-03-08 - Golden Knights 0, Wild 2",48.633333333333,48.53,35.71,0.0,95.0,0.95,West
