Game,TOI,CF%,SCF%,SH%,SV%,PDO,Division
"2021-02-07 - Red Wings 4, Panthers 1",55.6,48.48,41.86,8.33,97.06,1.054,Central
"2021-02-07 - Red Wings 4, Panthers 1",55.6,51.52,58.14,2.94,91.67,0.946,Central
"2021-02-08 - Hurricanes 2, Blue Jackets 3",54.25,60.0,74.07,8.33,90.48,0.988,Central
"2021-02-08 - Hurricanes 2, Blue Jackets 3",54.25,40.0,25.93,9.52,91.67,1.012,Central
"2021-02-08 - Lightning 4, Predators 1",44.983333333333,37.33,31.82,0.0,96.3,0.963,Central
"2021-02-08 - Lightning 4, Predators 1",44.983333333333,62.67,68.18,3.7,100.0,1.037,Central
"2021-02-09 - Blackhawks 2, Stars 1",49.216666666667,41.35,42.55,0.0,96.3,0.963,Central
"2021-02-09 - Blackhawks 2, Stars 1",49.216666666667,58.65,57.45,3.7,100.0,1.037,Central
"2021-02-09 - Lightning 6, Predators 1",41.4,58.14,63.41,3.85,85.71,0.896,Central
"2021-02-09 - Lightning 6, Predators 1",41.4,41.86,36.59,14.29,96.15,1.104,Central
"2021-02-09 - Red Wings 1, Panthers 2",50.533333333333,50.0,55.56,4.0,95.0,0.99,Central
"2021-02-09 - Red Wings 1, Panthers 2",50.533333333333,50.0,44.44,5.0,96.0,1.01,Central
"2021-02-11 - Blue Jackets 6, Blackhawks 5",49.966666666667,67.05,60.53,7.89,78.95,0.868,Central
"2021-02-11 - Blue Jackets 6, Blackhawks 5",49.966666666667,32.95,39.47,21.05,92.11,1.132,Central
"2021-02-11 - Hurricanes 5, Stars 3",45.833333333333,50.0,44.44,13.04,92.31,1.054,Central
"2021-02-11 - Hurricanes 5, Stars 3",45.833333333333,50.0,55.56,7.69,86.96,0.946,Central
"2021-02-11 - Lightning 2, Panthers 5",48.7,60.27,75.68,12.5,100.0,1.125,Central
"2021-02-11 - Lightning 2, Panthers 5",48.7,39.73,24.32,0.0,87.5,0.875,Central
"2021-02-11 - Red Wings 2, Predators 3",44.15,48.84,42.86,9.09,88.89,0.98,Central
"2021-02-11 - Red Wings 2, Predators 3",44.15,51.16,57.14,11.11,90.91,1.02,Central
"2021-02-13 - Blue Jackets 2, Blackhawks 3",54.0,48.24,54.55,6.67,92.59,0.993,Central
"2021-02-13 - Blue Jackets 2, Blackhawks 3",54.0,51.76,45.45,7.41,93.33,1.007,Central
"2021-02-13 - Hurricanes 4, Stars 3",50.466666666667,41.11,43.59,14.29,91.67,1.06,Central
"2021-02-13 - Hurricanes 4, Stars 3",50.466666666667,58.89,56.41,8.33,85.71,0.94,Central
"2021-02-13 - Lightning 6, Panthers 1",41.483333333333,57.53,55.88,4.35,80.95,0.853,Central
"2021-02-13 - Lightning 6, Panthers 1",41.483333333333,42.47,44.12,19.05,95.65,1.147,Central
"2021-02-13 - Red Wings 4, Predators 2",48.05,44.32,55.26,16.67,91.3,1.08,Central
"2021-02-13 - Red Wings 4, Predators 2",48.05,55.68,44.74,8.7,83.33,0.92,Central
"2021-02-15 - Blackhawks 3, Red Wings 2",49.616666666667,39.76,45.0,13.33,92.31,1.056,Central
"2021-02-15 - Blackhawks 3, Red Wings 2",49.616666666667,60.24,55.0,7.69,86.67,0.944,Central
"2021-02-15 - Blue Jackets 3, Hurricanes 7",53.016666666667,50.0,55.1,16.67,91.43,1.081,Central
"2021-02-15 - Blue Jackets 3, Hurricanes 7",53.016666666667,50.0,44.9,8.57,83.33,0.919,Central
"2021-02-15 - Panthers 6, Lightning 4",45.616666666667,35.14,29.41,33.33,85.71,1.19,Central
"2021-02-15 - Panthers 6, Lightning 4",45.616666666667,64.86,70.59,14.29,66.67,0.81,Central
"2021-02-17 - Blackhawks 2, Red Wings 0",45.633333333333,45.71,50.0,0.0,100.0,1.0,Central
"2021-02-17 - Blackhawks 2, Red Wings 0",45.633333333333,54.29,50.0,0.0,100.0,1.0,Central
"2021-02-17 - Panthers 4, Hurricanes 3",50.45,51.58,60.87,8.7,93.33,1.02,Central
"2021-02-17 - Panthers 4, Hurricanes 3",50.45,48.42,39.13,6.67,91.3,0.98,Central
"2021-02-18 - Predators 0, Blue Jackets 3",57.65,39.58,41.18,9.52,100.0,1.095,Central
"2021-02-18 - Predators 0, Blue Jackets 3",57.65,60.42,58.82,0.0,90.48,0.905,Central
"2021-02-19 - Blackhawks 3, Hurricanes 5",47.75,57.14,56.25,8.33,95.45,1.038,Central
"2021-02-19 - Blackhawks 3, Hurricanes 5",47.75,42.86,43.75,4.55,91.67,0.962,Central
"2021-02-19 - Panthers 7, Red Wings 2",49.733333333333,44.83,36.59,7.69,82.86,0.905,Central
"2021-02-19 - Panthers 7, Red Wings 2",49.733333333333,55.17,63.41,17.14,92.31,1.095,Central
"2021-02-20 - Lightning 0, Hurricanes 4",52.733333333333,52.58,53.57,12.5,100.0,1.125,Central
"2021-02-20 - Lightning 0, Hurricanes 4",52.733333333333,47.42,46.43,0.0,87.5,0.875,Central
"2021-02-20 - Panthers 1, Red Wings 2",48.483333333333,46.94,51.72,7.41,100.0,1.074,Central
"2021-02-20 - Panthers 1, Red Wings 2",48.483333333333,53.06,48.28,0.0,92.59,0.926,Central
"2021-02-20 - Predators 4, Blue Jackets 2",49.683333333333,32.29,25.0,5.0,91.89,0.969,Central
"2021-02-20 - Predators 4, Blue Jackets 2",49.683333333333,67.71,75.0,8.11,95.0,1.031,Central
"2021-02-22 - Lightning 4, Hurricanes 2",45.016666666667,50.49,54.35,3.33,91.67,0.95,Central
"2021-02-22 - Lightning 4, Hurricanes 2",45.016666666667,49.51,45.65,8.33,96.67,1.05,Central
"2021-02-22 - Stars 1, Panthers 3",49.683333333333,34.48,37.5,4.76,94.59,0.994,Central
"2021-02-22 - Stars 1, Panthers 3",49.683333333333,65.52,62.5,5.41,95.24,1.006,Central
"2021-02-23 - Blackhawks 6, Blue Jackets 5",47.616666666667,39.44,45.45,11.76,88.0,0.998,Central
"2021-02-23 - Blackhawks 6, Blue Jackets 5",47.616666666667,60.56,54.55,12.0,88.24,1.002,Central
"2021-02-23 - Predators 2, Red Wings 0",48.483333333333,45.45,31.71,0.0,100.0,1.0,Central
"2021-02-23 - Predators 2, Red Wings 0",48.483333333333,54.55,68.29,0.0,100.0,1.0,Central
"2021-02-24 - Hurricanes 0, Lightning 3",52.066666666667,54.29,48.94,0.0,95.83,0.958,Central
"2021-02-24 - Hurricanes 0, Lightning 3",52.066666666667,45.71,51.06,4.17,100.0,1.042,Central
"2021-02-24 - Stars 3, Panthers 0",46.483333333333,39.51,37.5,5.0,100.0,1.05,Central
"2021-02-24 - Stars 3, Panthers 0",46.483333333333,60.49,62.5,0.0,95.0,0.95,Central
"2021-02-25 - Blackhawks 2, Blue Jackets 0",53.966666666667,53.68,55.56,0.0,95.65,0.957,Central
"2021-02-25 - Blackhawks 2, Blue Jackets 0",53.966666666667,46.32,44.44,4.35,100.0,1.043,Central
"2021-02-25 - Hurricanes 1, Lightning 3",40.85,53.97,48.65,4.35,88.24,0.926,Central
"2021-02-25 - Hurricanes 1, Lightning 3",40.85,46.03,51.35,11.76,95.65,1.074,Central
"2021-02-25 - Predators 2, Red Wings 5",45.0,47.87,58.54,15.38,97.06,1.124,Central
"2021-02-25 - Predators 2, Red Wings 5",45.0,52.13,41.46,2.94,84.62,0.876,Central
"2021-02-25 - Stars 2, Panthers 3",53.6,43.62,48.94,3.23,91.43,0.947,Central
"2021-02-25 - Stars 2, Panthers 3",53.6,56.38,51.06,8.57,96.77,1.053,Central
"2021-02-27 - Blue Jackets 1, Predators 2",44.633333333333,41.38,42.86,4.35,93.1,0.975,Central
"2021-02-27 - Blue Jackets 1, Predators 2",44.633333333333,58.62,57.14,6.9,95.65,1.025,Central
"2021-02-27 - Hurricanes 4, Panthers 3",49.6,45.45,56.0,5.26,95.24,1.005,Central
"2021-02-27 - Hurricanes 4, Panthers 3",49.6,54.55,44.0,4.76,94.74,0.995,Central
"2021-02-27 - Red Wings 5, Blackhawks 3",53.716666666667,62.16,75.0,8.33,85.71,0.94,Central
"2021-02-27 - Red Wings 5, Blackhawks 3",53.716666666667,37.84,25.0,14.29,91.67,1.06,Central
"2021-02-27 - Stars 0, Lightning 5",42.816666666667,52.94,51.61,0.0,84.62,0.846,Central
"2021-02-27 - Stars 0, Lightning 5",42.816666666667,47.06,48.39,15.38,100.0,1.154,Central
"2021-02-28 - Blue Jackets 1, Predators 3",51.983333333333,45.65,43.59,3.7,96.0,0.997,Central
"2021-02-28 - Blue Jackets 1, Predators 3",51.983333333333,54.35,56.41,4.0,96.3,1.003,Central
"2021-02-28 - Red Wings 2, Blackhawks 7",53.616666666667,41.35,45.1,23.08,97.5,1.206,Central
"2021-02-28 - Red Wings 2, Blackhawks 7",53.616666666667,58.65,54.9,2.5,76.92,0.794,Central
"2021-03-01 - Hurricanes 3, Panthers 2",47.966666666667,42.53,20.0,0.0,94.74,0.947,Central
"2021-03-01 - Hurricanes 3, Panthers 2",47.966666666667,57.47,80.0,5.26,100.0,1.053,Central
"2021-03-02 - Hurricanes 4, Predators 2",49.233333333333,46.94,47.5,4.55,97.14,1.017,Central
"2021-03-02 - Hurricanes 4, Predators 2",49.233333333333,53.06,52.5,2.86,95.45,0.983,Central
"2021-03-02 - Lightning 2, Stars 0",44.25,59.52,64.1,0.0,100.0,1.0,Central
"2021-03-02 - Lightning 2, Stars 0",44.25,40.48,35.9,0.0,100.0,1.0,Central
"2021-03-02 - Red Wings 1, Blue Jackets 4",47.3,61.76,59.09,8.0,100.0,1.08,Central
"2021-03-02 - Red Wings 1, Blue Jackets 4",47.3,38.24,40.91,0.0,92.0,0.92,Central
"2021-03-04 - Blue Jackets 3, Stars 2",52.0,43.48,47.83,15.79,90.0,1.058,Central
"2021-03-04 - Blue Jackets 3, Stars 2",52.0,56.52,52.17,10.0,84.21,0.942,Central
