Game,TOI,CF%,SCF%,SH%,SV%,PDO,Division
"2021-02-08 - Oilers 3, Senators 1",47.15,43.96,40.48,4.55,92.86,0.974,North
"2021-02-09 - Jets 2, Flames 3",52.2,60.76,70.59,7.69,95.45,1.031,North
"2021-02-09 - Jets 2, Flames 3",52.2,39.24,29.41,4.55,92.31,0.969,North
"2021-02-09 - Oilers 3, Senators 2",52.783333333333,35.48,34.15,15.0,94.74,1.097,North
"2021-02-09 - Oilers 3, Senators 2",52.783333333333,64.52,65.85,5.26,85.0,0.903,North
"2021-02-10 - Maple Leafs 4, Canadiens 2",46.85,62.2,57.89,6.67,93.33,1.0,North
"2021-02-10 - Maple Leafs 4, Canadiens 2",46.85,37.8,42.11,6.67,93.33,1.0,North
"2021-02-11 - Flames 3, Canucks 1",41.266666666667,46.55,46.67,14.29,95.65,1.099,North
"2021-02-11 - Flames 3, Canucks 1",41.266666666667,53.45,53.33,4.35,85.71,0.901,North
"2021-02-11 - Oilers 3, Canadiens 0",52.9,44.04,43.33,8.33,100.0,1.083,North
"2021-02-11 - Oilers 3, Canadiens 0",52.9,55.96,56.67,0.0,91.67,0.917,North
"2021-02-11 - Senators 1, Jets 5",53.116666666667,61.9,67.16,2.56,82.61,0.852,North
"2021-02-11 - Senators 1, Jets 5",53.116666666667,38.1,32.84,17.39,97.44,1.148,North
"2021-02-13 - Canadiens 2, Maple Leafs 1",56.466666666667,58.95,48.15,8.0,95.24,1.032,North
"2021-02-13 - Canadiens 2, Maple Leafs 1",56.466666666667,41.05,51.85,4.76,92.0,0.968,North
"2021-02-13 - Flames 1, Canucks 3",50.683333333333,32.35,36.54,6.25,95.0,1.013,North
"2021-02-13 - Flames 1, Canucks 3",50.683333333333,67.65,63.46,5.0,93.75,0.988,North
"2021-02-13 - Senators 2, Jets 1",54.733333333333,41.44,43.4,7.14,100.0,1.071,North
"2021-02-13 - Senators 2, Jets 1",54.733333333333,58.56,56.6,0.0,92.86,0.929,North
"2021-02-15 - Flames 4, Canucks 3",41.833333333333,49.41,53.49,14.29,100.0,1.143,North
"2021-02-15 - Flames 4, Canucks 3",41.833333333333,50.59,46.51,0.0,85.71,0.857,North
"2021-02-15 - Jets 6, Oilers 5",51.766666666667,60.61,64.29,11.11,76.19,0.873,North
"2021-02-15 - Jets 6, Oilers 5",51.766666666667,39.39,35.71,23.81,88.89,1.127,North
"2021-02-15 - Senators 6, Maple Leafs 5",49.75,50.0,46.55,12.5,86.67,0.992,North
"2021-02-15 - Senators 6, Maple Leafs 5",49.75,50.0,53.45,13.33,87.5,1.008,North
"2021-02-17 - Canucks 5, Flames 1",54.133333333333,59.22,52.08,3.13,82.76,0.859,North
"2021-02-17 - Canucks 5, Flames 1",54.133333333333,40.78,47.92,17.24,96.88,1.141,North
"2021-02-17 - Jets 2, Oilers 3",38.966666666667,36.62,37.84,14.29,100.0,1.143,North
"2021-02-17 - Jets 2, Oilers 3",38.966666666667,63.38,62.16,0.0,85.71,0.857,North
"2021-02-17 - Senators 1, Maple Leafs 2",46.9,58.23,54.0,4.0,91.67,0.957,North
"2021-02-17 - Senators 1, Maple Leafs 2",46.9,41.77,46.0,8.33,96.0,1.043,North
"2021-02-18 - Senators 3, Maple Leafs 7",51.55,63.16,55.56,9.68,78.26,0.879,North
"2021-02-18 - Senators 3, Maple Leafs 7",51.55,36.84,44.44,21.74,90.32,1.121,North
"2021-02-19 - Jets 2, Canucks 0",49.783333333333,57.14,53.06,0.0,95.65,0.957,North
"2021-02-19 - Jets 2, Canucks 0",49.783333333333,42.86,46.94,4.35,100.0,1.043,North
"2021-02-19 - Oilers 2, Flames 1",48.833333333333,50.65,44.12,6.25,91.3,0.976,North
"2021-02-19 - Oilers 2, Flames 1",48.833333333333,49.35,55.88,8.7,93.75,1.024,North
"2021-02-20 - Flames 1, Oilers 7",44.25,62.2,65.96,0.0,73.33,0.733,North
"2021-02-20 - Flames 1, Oilers 7",44.25,37.8,34.04,26.67,100.0,1.267,North
"2021-02-20 - Maple Leafs 5, Canadiens 3",51.5,56.79,61.9,10.34,90.48,1.008,North
"2021-02-20 - Maple Leafs 5, Canadiens 3",51.5,43.21,38.1,9.52,89.66,0.992,North
"2021-02-21 - Canadiens 2, Senators 3",44.0,61.18,55.88,6.9,90.48,0.974,North
"2021-02-21 - Canadiens 2, Senators 3",44.0,38.82,44.12,9.52,93.1,1.026,North
"2021-02-21 - Jets 4, Canucks 3",46.733333333333,57.47,55.32,7.41,92.0,0.994,North
"2021-02-21 - Jets 4, Canucks 3",46.733333333333,42.53,44.68,8.0,92.59,1.006,North
